Unique Id; Longitude; Latitude
796;0.967095;-110.95333
797;-3e-05;-110.0
798;10.000796;-110.109741
799;9.99999;-110.0
800;19.399696;-129.366099
801;19.478233;-129.449028
802;7.18444;57.133363
803;4.498201;59.999765
804;2.324962;62.291928
805;-1.1e-05;64.732927
806;-2.586982;67.449332
807;-5.001685;70.000267
808;-7.3111;72.466698
809;17.823691;-120.000349
810;17.845023;-120.000345
811;15.170336;-114.99979
812;16.489116;-113.662629
813;16.498753;-113.652858
814;17.193331;-112.948599
815;17.47112;-112.666938
816;20.0;-110.0
817;9.922017;-110.079548
818;9.714503;-110.000015
819;1.172478;-110.000063
820;8.107806;-108.069468
821;5.057173;-104.999923
822;2.72784;-102.690184
823;-2e-05;-100.0
824;10.007479;-108.98026
825;10.0;-100.0
826;10.227914;-110.196788
827;17.244964;-117.10337
828;17.248801;-117.107261
829;12.135111;-110.000345
830;15.600505;-110.000712
831;15.628327;-110.000707
832;12.851715;-99.956128
833;12.934076;-99.954861
834;15.630558;-99.913377
835;16.5;-99.900002
836;11.023323;-94.047826
837;11.064573;-93.806105
838;11.488821;-90.991334
839;13.779261;145.012148
840;16.108867;146.841226
841;18.039377;141.468583
842;14.452315;144.155432
843;14.319447;144.254955
844;6.89996;-81.400002
845;7.207365;-81.86455
846;7.347551;-82.076398
847;7.848354;-82.833209
848;9.19999;-84.900002
849;12.19998;-83.400002
850;10.0;-82.900002
851;22.29999;-82.699997
852;21.599991;-80.75
853;10.00001;-30.0
854;12.260015;-26.849933
855;13.92679;-24.52673
856;14.050956;-24.353664
857;14.99999;-23.00001
858;15.523984;-23.713944
859;16.222945;-24.695556
860;16.489398;-25.069759
861;20.0;-30.0
862;20.00001;-60.0
863;13.087571;-59.945523
864;12.786418;-58.928509
865;12.120634;-56.795139
866;35.39484;-13.951874
867;35.28074;-15.637618
868;34.985328;-20.002102
869;34.976207;-20.136851
870;34.940453;-20.665087
871;34.823925;-22.386703
872;34.59467;-25.773753
873;34.308492;-30.001809
874;34.056103;-33.730663
875;33.872877;-36.437671
876;33.631656;-40.001532
877;33.418916;-43.144595
878;33.151085;-47.101579
879;32.95482;-50.001246
880;32.839902;-51.699061
881;32.781728;-52.558537
